"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Management","POST /api/v1/auth/login/2fa","Log in","1","0","0","0","0"
"User Management","POST /api/v1/auth/login","Log in","1","0","0","0","0"
"User management","POST api/v1/auth/2fa","Register","4","1","0","0","0"
"User management","PATCH api/v1/auth/password/update","Password recovery","1","0","0","0","0"
"User Management","PATCH api/v1/auth/2fa","Update 2fa","1","0","0","0","0"
"User management","POST /api/v1/auth/login/2fa","Log in","7","0","0","0","0"
"User management","POST api/v1/auth/login/code","Password recovery","1","0","1","0","0"
"User Management","PATCH api/v1/password/update","Password recovery","1","0","0","0","0"
"User Management","POST /api/v1/auth/password/forgot","Password recovery","1","0","0","0","0"
"User Management","POST api/v1/auth/login/code","Password recovery","1","0","0","0","0"
"User management","DELETE /api/v1/auth/logout","Log in","1","0","0","0","0"
"User management","POST /api/v1/auth/login","Log in","1","0","0","0","0"
"User management","POST /api/v1/auth/password/forgot","Password recovery","2","0","0","0","0"
"User management","POST api/v1/auth/email/resend","Register","1","0","1","0","0"
"User management","POST api/v1/auth/email/verify","Register","0","0","1","0","0"
"User Management","POST api/v1/auth/2fa","Register","0","0","1","0","0"
"User Management","POST api/v1/auth/email/verify","Register","0","0","1","0","0"
"User Management","POST /api/v1/auth/register","Register","0","0","1","0","0"
