"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User management","POST /api/v1/auth/password/forgot","Password recovery","23","0","0","0","0"
"User management","POST /api/v1/auth/login/2fa","Log in","8","0","0","0","0"
"User management","POST /api/v1/auth/register","Register","3","0","19","0","0"
"User management","POST api/v1/auth/login/code","Password recovery","2","0","1","1","0"
"User management","POST api/v1/auth/2fa","Register","0","0","7","0","0"
"User management","POST api/v1/auth/email/verify","Register","1","0","6","0","0"
"User management","POST /api/v1/auth/login","Log in","2","0","2","1","0"
"User management","POST api/v1/auth/email/resend","Register","2","0","2","1","0"
"User management","DELETE /api/v1/auth/logout","Log in","1","0","3","0","0"
"User management","PATCH api/v1/auth/password/update","Password recovery","1","0","3","0","0"
"User management","GET /api/v1/auth","Получение данных профиля авторизованного пользователя","0","0","4","0","0"
"User management","PATCH api/v1/password/update","Password recovery","1","0","0","0","0"
"User management","PATCH api/v1/auth/2fa","Update 2fa","1","0","0","0","0"
